"","county","cases","population","race","gender","age"
"365","delaware",2,113799,"w","m","Under.40"
"366","delaware",43,59104,"w","m","40.59"
"367","delaware",51,16089,"w","m","60.69"
"368","delaware",123,22456,"w","m","70+"
"369","elk",0,126,"o","f","Under.40"
"370","elk",0,45,"o","f","40.59"
"371","elk",0,6,"o","f","60.69"
"372","elk",0,9,"o","f","70+"
"373","elk",0,8598,"w","f","Under.40"
"374","elk",1,4534,"w","f","40.59"
"375","elk",7,1713,"w","f","60.69"
"376","elk",4,2700,"w","f","70+"
"377","elk",0,119,"o","m","Under.40"
"378","elk",0,45,"o","m","40.59"
"379","elk",0,11,"o","m","60.69"
"380","elk",0,5,"o","m","70+"
"381","elk",0,9097,"w","m","Under.40"
"382","elk",5,4803,"w","m","40.59"
"383","elk",6,1515,"w","m","60.69"
"384","elk",8,1786,"w","m","70+"
"385","erie",0,8993,"o","f","Under.40"
"386","erie",1,2371,"o","f","40.59"
"387","erie",0,551,"o","f","60.69"
"388","erie",2,537,"o","f","70+"
"389","erie",0,67803,"w","f","Under.40"
"390","erie",20,34938,"w","f","40.59"
"391","erie",24,10368,"w","f","60.69"
"392","erie",71,18315,"w","f","70+"
"393","erie",0,9951,"o","m","Under.40"
"394","erie",4,2361,"o","m","40.59"
"395","erie",7,454,"o","m","60.69"
"396","erie",3,343,"o","m","70+"
"397","erie",2,69272,"w","m","Under.40"
"398","erie",18,34196,"w","m","40.59"
"399","erie",23,9031,"w","m","60.69"
"400","erie",56,11359,"w","m","70+"
"401","fayette",0,2152,"o","f","Under.40"
"402","fayette",1,837,"o","f","40.59"
"403","fayette",0,275,"o","f","60.69"
"404","fayette",4,423,"o","f","70+"
"405","fayette",0,34597,"w","f","Under.40"
"406","fayette",8,19926,"w","f","40.59"
"407","fayette",11,6922,"w","f","60.69"
"408","fayette",31,12376,"w","f","70+"
"409","fayette",0,2090,"o","m","Under.40"
"410","fayette",1,758,"o","m","40.59"
"411","fayette",1,212,"o","m","60.69"
"412","fayette",3,240,"o","m","70+"
"413","fayette",0,35060,"w","m","Under.40"
"414","fayette",12,19589,"w","m","40.59"
"415","fayette",26,5726,"w","m","60.69"
"416","fayette",52,7461,"w","m","70+"
"417","forest",0,23,"o","f","Under.40"
"418","forest",0,5,"o","f","40.59"
"419","forest",0,5,"o","f","60.69"
"420","forest",0,4,"o","f","70+"
"421","forest",0,915,"w","f","Under.40"
"422","forest",0,695,"w","f","40.59"
"423","forest",0,324,"w","f","60.69"
"424","forest",1,371,"w","f","70+"
"425","forest",0,153,"o","m","Under.40"
"426","forest",0,6,"o","m","40.59"
"427","forest",0,3,"o","m","60.69"
"428","forest",0,2,"o","m","70+"
"429","forest",0,1099,"w","m","Under.40"
"430","forest",0,689,"w","m","40.59"
"431","forest",0,334,"w","m","60.69"
"432","forest",3,318,"w","m","70+"
"433","franklin",0,2037,"o","f","Under.40"
"434","franklin",0,607,"o","f","40.59"
"435","franklin",1,155,"o","f","60.69"
"436","franklin",2,160,"o","f","70+"
"437","franklin",0,31642,"w","f","Under.40"
"438","franklin",9,17039,"w","f","40.59"
"439","franklin",8,5756,"w","f","60.69"
"440","franklin",22,9002,"w","f","70+"
"441","franklin",0,2188,"o","m","Under.40"
"442","franklin",0,640,"o","m","40.59"
"443","franklin",1,129,"o","m","60.69"
"444","franklin",1,118,"o","m","70+"
"445","franklin",0,32103,"w","m","Under.40"
"446","franklin",9,16489,"w","m","40.59"
"447","franklin",18,5297,"w","m","60.69"
"448","franklin",34,5951,"w","m","70+"
"449","fulton",0,96,"o","f","Under.40"
"450","fulton",0,25,"o","f","40.59"
"451","fulton",0,13,"o","f","60.69"
"452","fulton",0,10,"o","f","70+"
"453","fulton",0,3547,"w","f","Under.40"
"454","fulton",0,1907,"w","f","40.59"
"455","fulton",1,682,"w","f","60.69"
"456","fulton",2,848,"w","f","70+"
"457","fulton",0,72,"o","m","Under.40"
"458","fulton",0,26,"o","m","40.59"
"459","fulton",0,6,"o","m","60.69"
"460","fulton",0,1,"o","m","70+"
"461","fulton",0,3800,"w","m","Under.40"
"462","fulton",1,1967,"w","m","40.59"
"463","fulton",4,667,"w","m","60.69"
"464","fulton",3,594,"w","m","70+"
"465","greene",0,169,"o","f","Under.40"
"466","greene",0,74,"o","f","40.59"
"467","greene",0,21,"o","f","60.69"
"468","greene",0,34,"o","f","70+"
"469","greene",0,9594,"w","f","Under.40"
"470","greene",4,5366,"w","f","40.59"
"471","greene",4,1654,"w","f","60.69"
"472","greene",5,2809,"w","f","70+"
"473","greene",0,1284,"o","m","Under.40"
"474","greene",0,386,"o","m","40.59"
"475","greene",0,24,"o","m","60.69"
"476","greene",0,15,"o","m","70+"
"477","greene",0,10392,"w","m","Under.40"
"478","greene",6,5600,"w","m","40.59"
"479","greene",7,1449,"w","m","60.69"
"480","greene",12,1801,"w","m","70+"
"481","huntingdon",0,318,"o","f","Under.40"
"482","huntingdon",0,106,"o","f","40.59"
"483","huntingdon",0,33,"o","f","60.69"
"484","huntingdon",0,31,"o","f","70+"
"485","huntingdon",0,10587,"w","f","Under.40"
"486","huntingdon",2,5720,"w","f","40.59"
"487","huntingdon",1,2052,"w","f","60.69"
"488","huntingdon",6,2897,"w","f","70+"
"489","huntingdon",0,1921,"o","m","Under.40"
"490","huntingdon",0,576,"o","m","40.59"
"491","huntingdon",0,33,"o","m","60.69"
"492","huntingdon",0,24,"o","m","70+"
"493","huntingdon",0,11549,"w","m","Under.40"
"494","huntingdon",3,5980,"w","m","40.59"
"495","huntingdon",5,1891,"w","m","60.69"
"496","huntingdon",9,1868,"w","m","70+"
"497","indiana",0,1109,"o","f","Under.40"
"498","indiana",0,199,"o","f","40.59"
"499","indiana",0,41,"o","f","60.69"
"500","indiana",0,53,"o","f","70+"
"501","indiana",0,23635,"w","f","Under.40"
"502","indiana",7,11396,"w","f","40.59"
"503","indiana",7,3615,"w","f","60.69"
"504","indiana",14,6135,"w","f","70+"
"505","indiana",0,1106,"o","m","Under.40"
"506","indiana",1,213,"o","m","40.59"
"507","indiana",1,41,"o","m","60.69"
"508","indiana",0,47,"o","m","70+"
"509","indiana",0,23478,"w","m","Under.40"
"510","indiana",6,11400,"w","m","40.59"
"511","indiana",13,3255,"w","m","60.69"
"512","indiana",21,3882,"w","m","70+"
"513","jefferson",0,146,"o","f","Under.40"
"514","jefferson",0,51,"o","f","40.59"
"515","jefferson",0,16,"o","f","60.69"
"516","jefferson",0,23,"o","f","70+"
"517","jefferson",0,11104,"w","f","Under.40"
"518","jefferson",4,6170,"w","f","40.59"
"519","jefferson",2,2206,"w","f","60.69"
"520","jefferson",10,3751,"w","f","70+"
"521","jefferson",0,157,"o","m","Under.40"
"522","jefferson",0,60,"o","m","40.59"
"523","jefferson",0,7,"o","m","60.69"
"524","jefferson",0,15,"o","m","70+"
"525","jefferson",0,11676,"w","m","Under.40"
"526","jefferson",2,6102,"w","m","40.59"
"527","jefferson",8,2022,"w","m","60.69"
"528","jefferson",8,2426,"w","m","70+"
"529","juniata",0,161,"o","f","Under.40"
"530","juniata",0,38,"o","f","40.59"
"531","juniata",0,4,"o","f","60.69"
"532","juniata",0,3,"o","f","70+"
"533","juniata",0,5755,"w","f","Under.40"
"534","juniata",0,2932,"w","f","40.59"
"535","juniata",1,1078,"w","f","60.69"
"536","juniata",3,1497,"w","f","70+"
"537","juniata",0,180,"o","m","Under.40"
"538","juniata",0,46,"o","m","40.59"
"539","juniata",0,8,"o","m","60.69"
"540","juniata",0,5,"o","m","70+"
"541","juniata",0,6090,"w","m","Under.40"
"542","juniata",0,3039,"w","m","40.59"
"543","juniata",1,994,"w","m","60.69"
"544","juniata",1,991,"w","m","70+"
"545","lackawanna",0,2506,"o","f","Under.40"
"546","lackawanna",0,594,"o","f","40.59"
"547","lackawanna",0,111,"o","f","60.69"
"548","lackawanna",0,117,"o","f","70+"
"549","lackawanna",0,50214,"w","f","Under.40"
"550","lackawanna",11,28179,"w","f","40.59"
"551","lackawanna",17,10190,"w","f","60.69"
"552","lackawanna",35,20770,"w","f","70+"
"553","lackawanna",0,2872,"o","m","Under.40"
"554","lackawanna",0,705,"o","m","40.59"
"555","lackawanna",0,140,"o","m","60.69"
"556","lackawanna",1,90,"o","m","70+"
"557","lackawanna",0,50019,"w","m","Under.40"
"558","lackawanna",18,27137,"w","m","40.59"
"559","lackawanna",31,8434,"w","m","60.69"
"560","lackawanna",68,11217,"w","m","70+"
"561","lancaster",0,14869,"o","f","Under.40"
"562","lancaster",1,3748,"o","f","40.59"
"563","lancaster",2,690,"o","f","60.69"
"564","lancaster",7,636,"o","f","70+"
"565","lancaster",2,116127,"w","f","Under.40"
"566","lancaster",18,58287,"w","f","40.59"
"567","lancaster",31,17642,"w","f","60.69"
"568","lancaster",66,29205,"w","f","70+"
"569","lancaster",0,15347,"o","m","Under.40"
"570","lancaster",3,3885,"o","m","40.59"
"571","lancaster",0,623,"o","m","60.69"
"572","lancaster",1,404,"o","m","70+"
"573","lancaster",2,117881,"w","m","Under.40"
"574","lancaster",31,56310,"w","m","40.59"
"575","lancaster",50,15903,"w","m","60.69"
"576","lancaster",87,19101,"w","m","70+"
"577","lawrence",0,1653,"o","f","Under.40"
"578","lawrence",0,483,"o","f","40.59"
"579","lawrence",3,128,"o","f","60.69"
"580","lawrence",2,175,"o","f","70+"
"581","lawrence",1,21617,"w","f","Under.40"
"582","lawrence",5,12604,"w","f","40.59"
"583","lawrence",6,4495,"w","f","60.69"
"584","lawrence",19,8494,"w","f","70+"
"585","lawrence",0,1671,"o","m","Under.40"
"586","lawrence",1,424,"o","m","40.59"
"587","lawrence",1,108,"o","m","60.69"
"588","lawrence",0,107,"o","m","70+"
"589","lawrence",0,21637,"w","m","Under.40"
"590","lawrence",6,12083,"w","m","40.59"
"591","lawrence",6,3785,"w","m","60.69"
"592","lawrence",26,5179,"w","m","70+"
"593","lebanon",0,2338,"o","f","Under.40"
"594","lebanon",1,625,"o","f","40.59"
"595","lebanon",0,115,"o","f","60.69"
"596","lebanon",0,96,"o","f","70+"
"597","lebanon",0,28490,"w","f","Under.40"
"598","lebanon",3,15917,"w","f","40.59"
"599","lebanon",3,5234,"w","f","60.69"
"600","lebanon",20,8902,"w","f","70+"
"601","lebanon",0,2550,"o","m","Under.40"
"602","lebanon",1,753,"o","m","40.59"
"603","lebanon",0,110,"o","m","60.69"
"604","lebanon",0,78,"o","m","70+"
"605","lebanon",0,29202,"w","m","Under.40"
"606","lebanon",11,15597,"w","m","40.59"
"607","lebanon",9,4705,"w","m","60.69"
"608","lebanon",29,5615,"w","m","70+"
"609","lehigh",0,15262,"o","f","Under.40"
"610","lehigh",2,3823,"o","f","40.59"
"611","lehigh",3,692,"o","f","60.69"
"612","lehigh",2,503,"o","f","70+"
"613","lehigh",1,66471,"w","f","Under.40"
"614","lehigh",18,39593,"w","f","40.59"
"615","lehigh",28,12438,"w","f","60.69"
"616","lehigh",63,22754,"w","f","70+"
"617","lehigh",0,15585,"o","m","Under.40"
"618","lehigh",3,3743,"o","m","40.59"
"619","lehigh",0,554,"o","m","60.69"
"620","lehigh",1,338,"o","m","70+"
"621","lehigh",0,67459,"w","m","Under.40"
"622","lehigh",22,38246,"w","m","40.59"
"623","lehigh",39,10906,"w","m","60.69"
"624","lehigh",70,13723,"w","m","70+"
"625","luzerne",0,3132,"o","f","Under.40"
"626","luzerne",0,826,"o","f","40.59"
"627","luzerne",0,170,"o","f","60.69"
"628","luzerne",0,183,"o","f","70+"
"629","luzerne",1,72422,"w","f","Under.40"
"630","luzerne",22,42128,"w","f","40.59"
"631","luzerne",31,15526,"w","f","60.69"
"632","luzerne",54,31068,"w","f","70+"
"633","luzerne",0,4703,"o","m","Under.40"
"634","luzerne",0,1452,"o","m","40.59"
"635","luzerne",2,196,"o","m","60.69"
"636","luzerne",0,112,"o","m","70+"
"637","luzerne",0,75392,"w","m","Under.40"
"638","luzerne",27,41779,"w","m","40.59"
"639","luzerne",44,13204,"w","m","60.69"
"640","luzerne",104,16957,"w","m","70+"
"641","lycoming",0,2646,"o","f","Under.40"
"642","lycoming",2,780,"o","f","40.59"
